834,834,834,834,834,834,834,834,834,834,,834,,832
24,IHS_LAG_2628C,CO-214815,Lagos,Upgrade/Colo,Cobranet,RF,25-Feb-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
25,IHS_LAG_3868H,UC-214653,Lagos,Upgrade/Colo,Dimension Data Limited,MW,03-Feb-22,H1 '22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by Rollout Project Manager,KAM,KAM,IHS
26,IHS_RIV_0878A,UC-214085,PHC,Upgrade/Colo,Airtel,LTE 2600,01-Jul-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,BOLAMARK ENGINEERING LIMITED
27,IHS_BNU_0006B,UC-211759,Enugu,Upgrade/Colo,Airtel,MW,12-Jul-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,SNOWVIEW SUPPORT SERVICE LIMITED
28,IHS_LAG_1072A,UC-210918,Lagos,Upgrade/Colo,Airtel,IPRAN,15-Jul-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
29,IHS_OYO_0780A,UC-207282,Ibadan,Upgrade/Colo,MTN,5G,13-Jul-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
30,IHS_ABI_0796A,UC-198416,Enugu,Upgrade/Colo,MTN,MLLH,14-Jul-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,WAPABAS ENGINEERING AND CONSTRUCTION LIMITED
31,IHS_KEB_0751A,CO-214108,Kano,Consolidation,9Mobile,2G,21-Jul-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,FARALIM GLOBAL SERVICES NIGERIA LIMITED
32,IHS_RIV_1219A,CO-215070,PHC,Consolidation,9Mobile,2G,26-Jul-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,TELENOETICA LIMITED
33,IHS_DEL_0947A,CO-212325,Asaba,Consolidation,9Mobile,2G,31-Jul-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,CONNIG TECHNOSERVE LIMITED
34,IHS_LAG_1709A,UC-210036,Lagos,Upgrade/Colo,MTN,5G,29-Jul-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,BOLAMARK ENGINEERING LIMITED
35,IHS_LAG_0084V,UC-207263,Lagos,Upgrade/Colo,MTN,5G,29-Jul-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,GLOVTEX TELECOMMUNICATION LIMITED
36,IHS_ABJ_1115A,CO-215245,Abuja,Upgrade/Colo,Airtel,2G,17-Jul-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,TOTAL SECURE NIGERIA LIMITED
37,IHS_ABJ_1078A,CO-215250,Abuja,Upgrade/Colo,Airtel,2G,28-May-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,JARUS IMPERIAL NIGERIA LIMITED
38,IHS_IMO_0015V,CO-215075,Enugu,Upgrade/Colo,9Mobile,2G,15-Aug-22,Q3 '22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,CONNIG TECHNOSERVE LIMITED
39,IHS_LAG_1090A,CO-217118,Lagos,Upgrade/Colo,Airtel,2G,18-Aug-22,Q3 '22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IENGINEERING NIGERIA LIMITED
40,IHS_ADA_0777A,UC-198431,Kano,Upgrade/Colo,MTN,MLLH,15-Aug-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,Demfy Integrated Services Limited
