834,834,834,834,834,834,834,834,834,834,,834,,832
112,IHS_LAG_4391B,UC-208764,Lagos,BTS,Airtel,3G,13-Oct-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
113,IHS_LAG_4392B,UC-208765,Lagos,BTS,Airtel,3G,25-Aug-22,Q3 '22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
114,IHS_LAG_4395B,UC-208768,Lagos,BTS,Airtel,3G,04-Oct-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
115,IHS_RIV_0010B,UC-214182,PHC,BTS,Airtel,3G,14-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IHS
116,IHS_OGN_4008B,UC-193741,Lagos,BTS,Airtel,LTE,01-Aug-22,Q3 '22,BOQ Approved and Power Upgrade Not Required,RFI Completed,NQA,Rollout Project Manager,IHS
117,IHS_LAG_4347B,UC-193949,Lagos,BTS,Airtel,LTE,12-Aug-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
118,IHS_KAN_0871A,UC-206771,Kano,Upgrade/Colo,Airtel/FE,FE,30-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
119,IHS_KAN_0124B,UC-216868,Kano,Upgrade/Colo,Airtel/L2600,L2600,18-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
120,IHS_OGN_0893A,UC-216893,Lagos,Upgrade/Colo,Airtel/L2600,L26,25-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
121,IHS_OYO_1307B,UC-216275,Ibadan,Upgrade/Colo,MTN/LTE,L26,25-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
122,IHS_LAG_0309B,UC-215846,Lagos,Upgrade/Colo,MTN/5G,5G,27-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
123,IHS_ABJ_0844A,UC-218475,Abuja,Upgrade/Colo,MTN/5G,5G,26-Oct-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,IHS
124,IHS_KAN_0839A,UC-214543,Kano,Upgrade/Colo,MTN/Fiber,DWDM,27-Oct-22,Q4'22,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,IHS
125,IHS_BOR_0962B,UC-217552,Kano,Upgrade/Colo,MTN/Eband,Ericsson_eband,30-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
126,IHS_LAG_1141A,UC-228122,Lagos,Upgrade/Colo,MTN/Eband,Aviat_eband,26-Oct-22,Q4'22,TSS Completed,Civil Work Completed and Power Pending,PMO - TLA,Regional Rollout Manager,LAFRED ENGINEERING COMPANY LIMITED
127,IHS_LAG_1792A,UC-221506,Lagos,Upgrade/Colo,MTN/Eband,5G,28-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
128,IHS_LAG_1372A,UC-218417,Lagos,Upgrade/Colo,MTN/Eband,LTE,26-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
129,IHS_LAG_1252A,UC-212570,Lagos,Upgrade/Colo,MTN/Eband,CTN,28-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
130,IHS_CRR_0815A,UC-219709,PHC,Upgrade/Colo,MTN/5G,5G,18-Oct-22,Q4'22,RFI Completed,RFI Acknowledged by KAM,RPM,KAM,FRAME ENGINEERING COMPANY LIMITED
131,IHS_OGN_0745E,CO-227974,Lagos,Upgrade/Colo,MTN,2G,18-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,GLOVTEX TELECOMMUNICATION LIMITED
132,IHS_LAG_4187B,CO-227983,Lagos,Upgrade/Colo,MTN,2G,25-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
133,IHS_ABJ_0087B,CO-227948,Abuja,Upgrade/Colo,MTN,2G,26-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,GLOVTEX TELECOMMUNICATION LIMITED
134,IHS_RIV_0762E,CO-227986,PHC,Upgrade/Colo,MTN,2G,26-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,TELENOETICA LIMITED
135,IHS_LAG_0200V,CO-227984,Lagos,Upgrade/Colo,MTN,2G,18-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
136,IHS_CRR_0797A,UC-227033,PHC,Upgrade/Colo,MTN/MW,L26,29-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
137,IHS_EDO_0790A,CO-220600,Asaba,Upgrade/Colo,Smile,LTE,28-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
138,IHS_DEL_0979A,CO-230536,Asaba,Upgrade/Colo,Smile,LTE,28-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,SNOWVIEW SUPPORT SERVICE LIMITED
139,IHS_EDO_1085C,CO-230533,Asaba,Upgrade/Colo,Smile,LTE,30-Nov-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,EKM
140,IHS_EDO_0939A,CO-230537,Asaba,Upgrade/Colo,Smile,LTE,03-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EZZENTIAL GLOBAL SERVICES
141,IHS_KWA_0892A,UC-212660,Ibadan,Upgrade/Colo,Airtel,MW,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
142,IHS_OGN_1304A,UC-228051,Lagos,Upgrade/Colo,MTN,L26,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
143,IHS_LAG_1598A,UC-228055,Lagos,Upgrade/Colo,MTN,L7,5-Dec-22,Q4'22,Civil Work Completed and Power Pending (Non conventional Power),BOQ Approved and Power Upgrade Not Required,RRM,NQA,Shenymann Projectplus Ltd
144,IHS_ABJ_0966A,UC-215902,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,BOLAMARK ENGINEERING LIMITED
145,IHS_ABJ_0785A,UC-215892,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,BOLAMARK ENGINEERING LIMITED
146,IHS_ABJ_0850A,UC-215883,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,BOLAMARK ENGINEERING LIMITED
147,IHS_ABJ_0943A,UC-215894,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,BOLAMARK ENGINEERING LIMITED
148,IHS_ABJ_1023A,UC-215897,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,TOTAL SECURE NIGERIA LIMITED
149,IHS_ABJ_1156A,UC-215910,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,TOTAL SECURE NIGERIA LIMITED
150,IHS_ABJ_0914A,UC-216023,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,JARUS IMPERIAL NIGERIA LIMITED
151,IHS_LAG_0050B,UC-221243,Lagos,Upgrade/Colo,Airtel,MW,4-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
152,IHS_LAG_3868H,UC-221235,Lagos,Upgrade/Colo,Airtel,MW,4-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
153,IHS_LAG_1827A,UC-221245,Lagos,Upgrade/Colo,Airtel,MW,4-Dec-22,Q4'22,TLA Failed and Power Analysis Submitted,TLA Failed and Power Analysis Submitted,Infra Manager (PMO),Infra Manager,LAFRED ENGINEERING COMPANY LIMITED
154,IHS_KAD_1523B,CO-227951,Abuja,Upgrade/Colo,MTN,2G,5-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,TOTAL SECURE NIGERIA LIMITED
155,IHS_ABJ_0946A,UC-226969,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,JARUS IMPERIAL NIGERIA LIMITED
156,IHS_ABJ_0888A,UC-227008,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,TOTAL SECURE NIGERIA LIMITED
157,IHS_ABJ_1384C,UC-226986,Abuja,Upgrade/Colo,MTN,5G,7-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,JARUS IMPERIAL NIGERIA LIMITED
158,IHS_ABJ_1110A,UC-227009,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,TOTAL SECURE NIGERIA LIMITED
159,IHS_ABJ_0825A,UC-226987,Abuja,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,TOTAL SECURE NIGERIA LIMITED
160,IHS_LAG_1130A,UC-226900,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
161,IHS_LAG_1993A,UC-226883,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
162,IHS_LAG_1089A,UC-226882,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
163,IHS_LAG_1893A,UC-226877,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
164,IHS_LAG_1834A,UC-226865,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
165,IHS_LAG_0264B,UC-226864,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
166,IHS_LAG_0294B,UC-226842,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
167,IHS_LAG_1971A,UC-226832,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
168,IHS_LAG_1778A,UC-226815,Lagos,Upgrade/Colo,MTN,NFE_Growth,4-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,GLOVTEX TELECOMMUNICATION LIMITED
169,IHS_LAG_1795A,UC-226814,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
170,IHS_LAG_1598A,UC-226810,Lagos,Upgrade/Colo,MTN,NFE_Growth,5-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Shenymann Projectplus Ltd
171,IHS_LAG_1524A,UC-219935,Lagos,Upgrade/Colo,MTN,NFE_Growth,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
172,IHS_ABJ_0271B,UC-219901,Abuja,Upgrade/Colo,MTN,NFE_Growth,8-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
173,IHS_ABJ_1413C,UC-219876,Abuja,Upgrade/Colo,MTN,NFE_Growth,5-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Demfy Integrated Services Limited
174,IHS_ABJ_0277C,UC-219851,Abuja,Upgrade/Colo,MTN,NFE_Growth,5-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
175,IHS_OYO_1354B,UC-229096,Ibadan,Upgrade/Colo,Airtel,3G,6-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
176,IHS_KWA_0789A,UC-227521,Ibadan,Upgrade/Colo,MTN,L26,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
177,IHS_ILO_0041B,UC-227517,Ibadan,Upgrade/Colo,MTN,L26,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
178,IHS_RIV_0816A,UC-227466,PHC,Upgrade/Colo,MTN,L7+L8+L18+L26,4-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
179,IHS_RIV_0801A,UC-227455,PHC,Upgrade/Colo,MTN,L1800,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,TELENOETICA LIMITED
180,IHS_PHC_1031C,UC-227445,PHC,Upgrade/Colo,MTN,L7+L8+L18+L26,4-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
181,IHS_BAY_0706E,CO-229025,PHC,Upgrade/Colo,MTN,2G,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
182,IHS_RIV_1355A,UC-230528,PHC,Upgrade/Colo,Airtel,3G,8-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IHS
183,IHS_ABJ_0938A,UC-231273,Abuja,Upgrade/Colo,Airtel,3G,5-Dec-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,IHS
184,IHS_ANA_1061A,CO-231251,Asaba,Upgrade/Colo,Airtel,2G,4-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,SNOWVIEW SUPPORT SERVICE LIMITED
185,IHS_ANA_1061A,UC-231281,Asaba,Upgrade/Colo,Airtel,3G,4-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
186,IHS_EDO_1200B,CO-231238,Asaba,Upgrade/Colo,Airtel,2G,4-Dec-22,Q4'22,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,EKM
187,IHS_ENG_0993A,UC-231300,Enugu,Upgrade/Colo,Airtel,3G,7-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,IHS
188,IHS_KAD_0707E,UC-231283,Abuja,Upgrade/Colo,Airtel,3G,5-Dec-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,IHS
189,IHS_LAG_2013A,UC-231301,Lagos,Upgrade/Colo,Airtel,3G,6-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
190,IHS_OGN_1021A,UC-231284,Lagos,Upgrade/Colo,Airtel,3G,6-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
191,IHS_EDO_1200B,UC-231275,Asaba,Upgrade/Colo,Airtel,3G,4-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
192,IHS_RIV_0960A,CO-231256,PHC,Upgrade/Colo,Airtel,2G,4-Dec-22,Q4'22,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,Bedrock Multifunctions Limited
193,IHS_PHC_0096B,UC-231306,PHC,Upgrade/Colo,Airtel,3G,7-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IHS
194,IHS_PHC_0668C,UC-231296,PHC,Upgrade/Colo,Airtel,3G,6-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IHS
195,IHS_PHC_0080B,UC-231307,PHC,Upgrade/Colo,Airtel,3G,7-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
196,IHS_RIV_1138A,UC-229390,PHC,Upgrade/Colo,MTN,5G,5-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,Bedrock Multifunctions Limited
197,IHS_RIV_0884A,UC-229415,PHC,Upgrade/Colo,MTN,5G,6-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,Bedrock Multifunctions Limited
198,IHS_RIV_1210A,UC-229416,PHC,Upgrade/Colo,MTN,5G,5-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,Bedrock Multifunctions Limited
199,IHS_PHC_0164B,UC-229417,PHC,Upgrade/Colo,MTN,5G,4-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,CONNIG TECHNOSERVE LIMITED
200,IHS_RIV_0824A,UC-229421,PHC,Upgrade/Colo,MTN,5G,5-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,SNOWVIEW SUPPORT SERVICE LIMITED
201,IHS_PHC_0677C,UC-229397,PHC,Upgrade/Colo,MTN,5G,5-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,Bedrock Multifunctions Limited
202,IHS_LAG_3775H,CO-231215,Lagos,Upgrade/Colo,Cyberspace,LTE,5-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
203,IHS_EDO_1044C,CO-230535,Asaba,Upgrade/Colo,Smile,LTE,6-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,EZZENTIAL GLOBAL SERVICES
204,IHS_BEN_0720E ,CO-230538,Asaba,Upgrade/Colo,Smile,LTE,6-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,SNOWVIEW SUPPORT SERVICE LIMITED
205,IHS_RIV_0960A,UC-231286,PHC,Upgrade/Colo,Airtel,3G,4-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IHS
206,IHS_CRR_0781A,CO-231012,PHC,Upgrade/Colo,9Mobile,2G,7-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,SNOWVIEW SUPPORT SERVICE LIMITED
207,IHS_PHC_0238B,UC-231011,PHC,Upgrade/Colo,9Mobile,3G,7-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IHS
208,IHS_ABI_0013B,CO-227911,Enugu,Upgrade/Colo,MTN,2G,2-Oct-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,Shenymann Projectplus Ltd
209,IHS_BNU_0764E,CO-227915,Asaba,Upgrade/Colo,MTN,2G,12-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,Shenymann Projectplus Ltd
210,IHS_CRR_0718E,CO-227924,PHC,Upgrade/Colo,MTN,2G,12-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,FARALIM GLOBAL SERVICES NIGERIA LIMITED
211,IHS_ABJ_0288B,CO-227941,Abuja,Upgrade/Colo,MTN,2G,25-Sep-22,Q3 '22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,GLOVTEX TELECOMMUNICATION LIMITED
212,IHS_BNU_0703E,CO-227935,Asaba,Upgrade/Colo,MTN,2G,18-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,Star Solutions
213,IHS_KAD_0705E,CO-227944,Abuja,Upgrade/Colo,MTN,2G,25-Sep-22,Q3 '22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,GLOVTEX TELECOMMUNICATION LIMITED
214,IHS_KAD_1369B,CO-227950,Abuja,Upgrade/Colo,MTN,2G,25-Sep-22,Q3 '22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,GLOVTEX TELECOMMUNICATION LIMITED
215,IHS_ZAR_0007B,CO-227964,Abuja,Upgrade/Colo,MTN,2G,25-Sep-22,Q3 '22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,GLOVTEX TELECOMMUNICATION LIMITED
216,IHS_BAU_1023B,CO-227926,Abuja,Upgrade/Colo,MTN,2G,8-Oct-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,Bedrock Multifunctions Limited
217,IHS_BAU_1003B,CO-227913,Abuja,Upgrade/Colo,MTN,2G,22-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,Bedrock Multifunctions Limited
218,IHS_OGN_4005B,CO-227968,Lagos,Upgrade/Colo,MTN,2G,31-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
219,IHS_LAG_4247B,CO-227988,Lagos,Upgrade/Colo,MTN,2G,31-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
220,IHS_LAG_4265B,CO-227982,Lagos,Upgrade/Colo,MTN,2G,31-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
221,IHS_KAT_0997B,CO-227973,Kano,Upgrade/Colo,MTN,2G,2-Nov-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,Bedrock Multifunctions Limited
222,IHS_KAN_1201H,CO-228387,Kano,Upgrade/Colo,MTN,2G,3-Nov-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,FARALIM GLOBAL SERVICES NIGERIA LIMITED
223,IHS_BAU_0737E,CO-227933,Abuja,Upgrade/Colo,MTN,2G,7-Nov-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,Bedrock Multifunctions Limited
224,IHS_KEB_0729E,CO-227956,Kano,Upgrade/Colo,MTN,2G,7-Nov-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,Bedrock Multifunctions Limited
225,IHS_BNU_0015B,CO-227914,Asaba,Upgrade/Colo,MTN,2G,12-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Star Solutions
226,IHS_KAN_0750E,CO-227952,Kano,Upgrade/Colo,MTN,2G,14-Nov-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,FARALIM GLOBAL SERVICES NIGERIA LIMITED
227,IHS_ABJ_0055B,CO-227947,Abuja,Upgrade/Colo,MTN,2G,14-Sep-22,Q3 '22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,GLOVTEX TELECOMMUNICATION LIMITED
228,IHS_OGU_0227H,CO-227971,Lagos,Upgrade/Colo,MTN,2G,21-Aug-22,Q3 '22,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,LAFRED ENGINEERING COMPANY LIMITED
229,IHS_KAN_0797E,CO-227959,Kano,Upgrade/Colo,MTN,2G,14-Nov-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,Bedrock Multifunctions Limited
230,IHS_IMO_1339B,CO-227949,Enugu,Upgrade/Colo,MTN,2G,15-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Star Solutions
231,IHS_BNU_0701E,CO-227920,Asaba,Upgrade/Colo,MTN,2G,16-Nov-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,EKM
232,IHS_ENG_0736E,CO-227953,Enugu,Upgrade/Colo,MTN,2G,17-Nov-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,SNOWVIEW SUPPORT SERVICE LIMITED
233,IHS_BAU_0903H,CO-227919,Asaba,Upgrade/Colo,MTN,2G,18-Nov-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,Bedrock Multifunctions Limited
234,IHS_UYO_0009B,CO-227932,PHC,Upgrade/Colo,MTN,2G,23-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,TELENOETICA LIMITED
235,IHS_AKW_0726E,CO-229018,PHC,Upgrade/Colo,MTN,2G,25-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
236,IHS_LAG_4214B,CO-229027,Lagos,Upgrade/Colo,MTN,2G,27-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
237,IHS_LAG_4243B,CO-229024,Lagos,Upgrade/Colo,MTN,2G,27-Nov-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
